Middle layer Super Output Areas Code,Middle layer Super Output Areas,Welsh speaking ability (3 categories) Code,Welsh speaking ability (3 categories),Observation,Total,Totalp
W02000280,Rhondda Cynon Taf 029,1,Can speak Welsh,1354,9575,14.14099217
W02000281,Rhondda Cynon Taf 030,1,Can speak Welsh,1100,7462,14.7413562
W02000282,Rhondda Cynon Taf 031,1,Can speak Welsh,1962,11461,17.11892505
W02000284,Merthyr Tydfil 002,1,Can speak Welsh,688,9354,7.355142185
W02000285,Merthyr Tydfil 003,1,Can speak Welsh,775,8331,9.302604729
W02000286,Merthyr Tydfil 004,1,Can speak Welsh,527,6738,7.821311962
W02000287,Merthyr Tydfil 005,1,Can speak Welsh,846,8293,10.20137465
W02000288,Merthyr Tydfil 006,1,Can speak Welsh,779,8083,9.637510825
W02000289,Merthyr Tydfil 007,1,Can speak Welsh,945,8681,10.88584264
W02000290,Caerphilly 001,1,Can speak Welsh,777,8545,9.093036864
W02000291,Caerphilly 002,1,Can speak Welsh,487,7087,6.871736983
W02000292,Caerphilly 003,1,Can speak Welsh,651,5823,11.17980422
W02000293,Caerphilly 004,1,Can speak Welsh,564,6040,9.337748344
W02000294,Caerphilly 005,1,Can speak Welsh,479,5600,8.553571429
W02000295,Caerphilly 006,1,Can speak Welsh,804,9520,8.445378151
W02000296,Caerphilly 007,1,Can speak Welsh,677,7393,9.15731097
W02000297,Caerphilly 008,1,Can speak Welsh,829,7488,11.07104701
W02000298,Caerphilly 009,1,Can speak Welsh,613,7145,8.579426172
W02000299,Caerphilly 010,1,Can speak Welsh,509,6238,8.15966656
W02000300,Caerphilly 011,1,Can speak Welsh,701,8381,8.364157022
W02000301,Caerphilly 012,1,Can speak Welsh,830,7931,10.46526289
W02000302,Caerphilly 013,1,Can speak Welsh,1340,9958,13.45651737
W02000303,Caerphilly 014,1,Can speak Welsh,735,7111,10.336099
W02000304,Caerphilly 015,1,Can speak Welsh,452,5499,8.219676305
W02000305,Caerphilly 016,1,Can speak Welsh,424,6143,6.902165066
W02000306,Caerphilly 017,1,Can speak Welsh,372,5085,7.315634218
W02000307,Caerphilly 018,1,Can speak Welsh,929,6508,14.27473878
W02000308,Caerphilly 019,1,Can speak Welsh,1006,8775,11.46438746
W02000309,Caerphilly 020,1,Can speak Welsh,681,6766,10.06503104
W02000310,Caerphilly 021,1,Can speak Welsh,539,5289,10.19096237
W02000311,Caerphilly 022,1,Can speak Welsh,1255,9772,12.84281621
W02000312,Caerphilly 023,1,Can speak Welsh,771,7231,10.66242567
W02000313,Caerphilly 024,1,Can speak Welsh,1411,10625,13.28
W02000314,Blaenau Gwent 001,1,Can speak Welsh,349,6624,5.268719807
W02000315,Blaenau Gwent 002,1,Can speak Welsh,337,5248,6.421493902
W02000316,Blaenau Gwent 003,1,Can speak Welsh,453,6660,6.801801802
W02000317,Blaenau Gwent 004,1,Can speak Welsh,397,7786,5.098895453
W02000318,Blaenau Gwent 005,1,Can speak Welsh,633,9097,6.958337914
W02000319,Blaenau Gwent 006,1,Can speak Welsh,505,8080,6.25
W02000320,Blaenau Gwent 007,1,Can speak Welsh,488,8132,6.000983768
W02000321,Blaenau Gwent 008,1,Can speak Welsh,492,8615,5.71096924
W02000322,Blaenau Gwent 009,1,Can speak Welsh,381,6665,5.716429107
W02000323,Torfaen 001,1,Can speak Welsh,538,6019,8.938361854
W02000324,Torfaen 002,1,Can speak Welsh,741,7042,10.52257881
W02000325,Torfaen 003,1,Can speak Welsh,525,7342,7.150640153
W02000326,Torfaen 004,1,Can speak Welsh,675,8870,7.609921082
W02000327,Torfaen 005,1,Can speak Welsh,365,5895,6.191687871
W02000328,Torfaen 006,1,Can speak Welsh,662,7479,8.851450729
W02000329,Torfaen 007,1,Can speak Welsh,699,8067,8.664931201
W02000330,Torfaen 008,1,Can speak Welsh,504,7079,7.119649668
W02000331,Torfaen 009,1,Can speak Welsh,479,6474,7.398826074
W02000332,Torfaen 010,1,Can speak Welsh,596,7649,7.791868218
W02000333,Torfaen 011,1,Can speak Welsh,493,6241,7.8993751
W02000334,Torfaen 012,1,Can speak Welsh,488,6586,7.409656848
W02000335,Torfaen 013,1,Can speak Welsh,601,7534,7.977170162
W02000336,Monmouthshire 001,1,Can speak Welsh,798,8480,9.410377358
W02000337,Monmouthshire 002,1,Can speak Welsh,648,7641,8.480565371
W02000338,Monmouthshire 003,1,Can speak Welsh,774,8520,9.084507042
